bin	bin_center	count	cumulative	log1p_cum	dist
68	0.686868686868687	2	120.0	4.795790545596741	-0.22168082240426945
69	0.696969696969697	1	118.0	4.77912349311153	-0.21409444701014846
70	0.7070707070707072	3	117.0	4.770684624465665	-0.20526664775446313
71	0.7171717171717172	0	114.0	4.74493212836325	-0.1990510349392428
72	0.7272727272727273	2	114.0	4.74493212836325	-0.18895002483823276
73	0.7373737373737375	0	112.0	4.727387818712341	-0.18149600525913578
74	0.7474747474747475	1	112.0	4.727387818712341	-0.17139499515812573
75	0.7575757575757577	2	111.0	4.718498871295094	-0.16263510135245052
76	0.7676767676767677	2	109.0	4.700480365792417	-0.15525262587797428
77	0.7777777777777778	2	107.0	4.68213122712422	-0.1479200345467202
78	0.787878787878788	0	105.0	4.663439094112067	-0.1406391923464142
79	0.797979797979798	6	105.0	4.663439094112067	-0.13053818224540414
80	0.8080808080808082	1	99.0	4.605170185988092	-0.12922846975571944
81	0.8181818181818182	2	98.0	4.59511985013459	-0.12064379995396335
82	0.8282828282828284	2	96.0	4.574710978503383	-0.11362196998860175
83	0.8383838383838385	0	94.0	4.553876891600541	-0.10666429420292511
84	0.8484848484848485	0	94.0	4.553876891600541	-0.09656328410191506
85	0.8585858585858587	0	94.0	4.553876891600541	-0.08646227400090489
86	0.8686868686868687	1	94.0	4.553876891600541	-0.07636126389989484
87	0.8787878787878789	0	93.0	4.543294782270004	-0.06785682520335312
88	0.888888888888889	2	93.0	4.543294782270004	-0.05775581510234307
89	0.8989898989898991	5	91.0	4.5217885770490405	-0.05089954489221027
90	0.9090909090909092	4	86.0	4.465908118654584	-0.04922947602932548
91	0.9191919191919192	5	82.0	4.418840607796598	-0.04622975732194268
92	0.9292929292929294	2	77.0	4.356708826689592	-0.04550285420902411
93	0.9393939393939394	2	75.0	4.330733340286331	-0.039320884963973346
94	0.9494949494949496	3	73.0	4.304065093204169	-0.03324343570218169
95	0.9595959595959597	3	70.0	4.2626798770413155	-0.029386403113545567
96	0.9696969696969697	1	67.0	4.219507705176107	-0.02579897673349385
97	0.9797979797979799	0	66.0	4.204692619390966	-0.017933186623175446
98	0.98989898989899	1	66.0	4.204692619390966	-0.00783217652216539
99	1.0	65	65.0	4.189654742026425	0.0
