Position0	AvgQ_T	TCount	MultiMapFrac	STAR_TC_Cov	STAR_TC_MM	STAR_TC_Rate	STAR_TC_Std	STAR_TC_Std_Smooth	STAR_TA_Cov	STAR_TA_MM	STAR_TA_Rate	GEDI_TC_Cov	GEDI_TC_MM	GEDI_TC_Rate	GEDI_TC_Std	GEDI_TA_Cov	GEDI_TA_MM	GEDI_TA_Rate	STAR_TC_TA_Ratio	GEDI_TC_TA_Ratio
0	39.325049550236315	26236	0.1893037665090494	18247.9	1252.07	6.861447070621825	25.279739934564944	24.027453689879106	18247.9	1069.52	5.861057984754409	18152.0	2208.0	12.163948876156898	32.68689699793988	18152.0	1862.0	10.257822829440281	1.170684045179146	1.1858216970998927
1	39.487900399884566	24257	0.1893037665090494	16979.3	1044.5	6.151608134610967	24.027453689879106	22.529021908230078	16979.3	703.217	4.14161361186857	15782.0	1883.0	11.931314155366874	32.41566223390522	15782.0	1271.0	8.053478646559372	1.4853167656640835	1.4815106215578284
2	39.573731746433694	23694	0.1893037665090494	16771.0	777.833	4.637964343211496	21.03059012658105	21.03059012658105	16771.0	500.516	2.984413571045257	15259.0	1308.0	8.571990300806082	27.99499977430781	15259.0	924.0	6.05544268956026	1.5540622078015487	1.4155844155844155
3	39.5810144492561	23323	0.1893037665090494	16467.1	527.383	3.202646489060005	17.607035649765468	17.607035649765468	16467.1	330.873	2.009297326183724	14684.0	982.0	6.68755107600109	24.980627858522407	14684.0	615.0	4.1882320893489515	1.5939136768488213	1.5967479674796747
4	39.630756123535676	23475	0.1893037665090494	16193.5	410.506	2.535004785870874	15.71859501745303	15.71859501745303	16193.5	228.706	1.4123321085620775	14698.0	721.0	4.905429310110219	21.598140991634754	14698.0	435.0	2.9595863382773167	1.7949069985046302	1.657471264367816
5	39.63974144942426	23361	0.1893037665090494	16223.1	328.693	2.0260800956660563	14.08910958906032	14.08910958906032	16223.1	158.932	0.9796647989595083	14695.0	604.0	4.110241578768289	19.852709438285576	14695.0	272.0	1.8509697175910174	2.0681360581884074	2.2205882352941178
6	39.653151446254896	23751	0.1893037665090494	16345.6	293.34	1.7946113938919341	13.275560603383447	13.275560603383447	16345.6	93.0278	0.5691305305403288	15009.0	480.0	3.198081151309214	17.594896762429784	15009.0	171.0	1.1393164101539077	3.1532509636904242	2.8070175438596485
7	39.66300736067298	23775	0.1893037665090494	16587.1	231.458	1.3954096858402012	11.730038379846993	12.201735188612549	16587.1	52.45	0.31620958455667364	15261.0	390.0	2.555533713387065	15.780450525205186	15261.0	105.0	0.6880283074503637	4.412926596758817	3.714285714285714
8	39.6511230570488	23997	0.1893037665090494	16779.4	253.65	1.5116750300964277	12.201735188612549	11.730038379846993	16779.4	20.0333	0.11939223094985518	15742.0	406.0	2.579087790623809	15.851090979192445	15742.0	38.0	0.24139245330961756	12.66141873780156	10.684210526315791
9	39.68303151698483	24463	0.18928614133684085	16728.6	226.617	1.3546680535131452	11.559916946765034	11.559916946765034	16728.6	12.6	0.07532011046949535	16035.0	365.0	2.2762706579357657	14.914612220416501	16035.0	19.0	0.11849080137199876	17.98547619047619	19.210526315789473
10	39.69733225545675	24740	0.1892970117291533	17087.7	188.094	1.100756684632806	10.433791409862323	10.433791409862323	17087.7	4.16667	0.02438403061851507	16672.0	316.0	1.8953934740882916	13.636232287080352	16672.0	5.0	0.02999040307101727	45.14252388598089	63.2
11	39.73307698469919	24966	0.18929231438199803	17172.1	142.31	0.8287279948288212	9.06564997082223	9.06564997082223	17172.1	1.41667	0.008249835488961747	16684.0	227.0	1.360584991608727	11.584787768512713	16684.0	2.0	0.011987532965715655	100.45388128498521	113.5
12	39.7036039315617	27470	0.1893037665090494	18865.7	127.25	0.6745045240833895	8.185077645039781	8.185077645039781	18865.7	3.0	0.015901874831042582	19638.0	191.0	0.972604134840615	9.8139928001274	19638.0	3.0	0.015276504735716468	42.416666666666664	63.66666666666666
13	39.67765080069529	27039	0.18931405587563865	18772.0	115.643	0.6160398465800128	7.824607310621215	7.903673573360143	18772.0	3.0	0.015981248668229277	19730.0	200.0	1.0136847440446022	10.017031378814355	19730.0	2.0	0.01013684744044602	38.547666666666665	100.00000000000001
14	39.673842237280525	26711	0.18929495401874036	18482.3	97.4917	0.5274868387592453	7.24364835637818	7.903673573360143	18482.3	5.0	0.02705291008153747	19288.0	192.0	0.9954375777685608	9.927379402723679	19288.0	6.0	0.031107424305267525	19.49834	32.0
15	39.69827036356133	26653	0.1893037665090494	18338.7	115.283	0.6286323458042282	7.903673573360143	7.903673573360143	18338.7	1.5	0.008179423841384613	19011.0	219.0	1.1519646520435538	10.670962592231199	19011.0	2.0	0.010520225132817843	76.85533333333333	109.5
16	39.701663627228406	26869	0.18930788212146576	18153.2	119.7	0.6593878765176387	8.093453853582254	7.962158770841675	18153.2	4.5	0.024789017914196944	18893.0	197.0	1.0427142327846293	10.157960932549962	18893.0	3.0	0.015878896945958818	26.6	65.66666666666669
17	39.721506701011684	26787	0.18930788212146576	18139.1	115.733	0.6380305527837655	7.962158770841675	7.962158770841675	18139.1	2.5	0.013782381705817819	18744.0	218.0	1.1630388390951771	10.721530887344114	18744.0	1.0	0.0053350405463081525	46.293200000000006	217.99999999999997
18	39.69675090252708	27146	0.18930993999478216	18203.5	129.2	0.7097536188095696	8.39473714189692	8.093453853582254	18203.5	1.66667	0.009155766748152827	19140.0	219.0	1.1442006269592475	10.635359308513785	19140.0	1.0	0.00522466039707419	77.51984496031008	218.99999999999997
