Position0	AvgQ_T	TCount	MultiMapFrac	STAR_TC_Cov	STAR_TC_MM	STAR_TC_Rate	STAR_TC_Std	STAR_TC_Std_Smooth	STAR_TA_Cov	STAR_TA_MM	STAR_TA_Rate	GEDI_TC_Cov	GEDI_TC_MM	GEDI_TC_Rate	GEDI_TC_Std	GEDI_TA_Cov	GEDI_TA_MM	GEDI_TA_Rate	STAR_TC_TA_Ratio	GEDI_TC_TA_Ratio
10	39.66602896966384	18295	0.25704	253119.0	288.869	0.11412379157629417	3.376293073449884	3.376293073449884	253119.0	110.974	0.04384261947937531	213138.0	411.0	0.1928328125439856	4.387037355756722	213138.0	120.0	0.056301551107733015	2.603033142898337	3.4250000000000003
11	39.70276325616131	18746	0.25704	253141.0	213.326	0.0842716114734476	2.9017338683698113	2.9017338683698113	253141.0	32.5	0.012838694640536302	216068.0	297.0	0.13745672658607477	3.7049667079372948	216068.0	18.0	0.008330710702186349	6.563876923076922	16.500000000000004
12	39.71269751402543	19429	0.25703257032570326	271597.0	227.543	0.0837796441050527	2.8932586095506396	2.8932586095506396	271597.0	11.8333	0.0043569332503672715	245547.0	292.0	0.11891817045209267	3.446400370523656	245547.0	4.0	0.0016290160335903105	19.22904008180305	73.0
13	39.73503444756315	19595	0.25701771053131595	266152.0	212.333	0.07977884817698158	2.8233880627858636	2.8233880627858636	266152.0	34.0	0.012774655084312725	238444.0	272.0	0.11407290600728053	3.3755411377797055	238444.0	5.0	0.0020969284192514804	6.2450882352941175	54.4
14	39.72257489698185	17958	0.25700313028172533	269339.0	186.587	0.06927589394777585	2.631119580196864	2.8007406044362377	269339.0	31.4	0.01165817055829271	232076.0	253.0	0.10901601199607025	3.299957076801985	232076.0	13.0	0.00560161326462021	5.942261146496815	19.461538461538463
15	39.722504596085216	18494	0.25695451680987486	266805.0	188.042	0.07047918892074737	2.653855982528783	2.796346282509899	266805.0	103.5	0.03879237645471412	231081.0	217.0	0.0939064656981751	3.062977007017452	231081.0	23.0	0.009953219866626855	1.8168309178743962	9.43478260869565
16	39.74937034181444	19455	0.2568332799743877	271509.0	213.143	0.07850310671101142	2.8007406044362377	2.737998265121822	271509.0	134.45	0.049519537105583974	240249.0	240.0	0.09989635752906359	3.159059428161931	240249.0	14.0	0.005827287522528709	1.5852956489401264	17.142857142857142
17	39.78351312843476	24565	0.2567829845131858	272333.0	213.119	0.07825676653214998	2.796346282509899	2.785769587904557	272333.0	66.25	0.024326835161364944	246902.0	246.0	0.09963467286615742	3.154923171580981	246902.0	18.0	0.007290341917035909	3.2168905660377365	13.666666666666666
18	39.81776376297464	30444	0.2566840104062437	260728.0	195.605	0.0750226289466417	2.737998265121822	2.796346282509899	260728.0	78.45	0.03008882820410543	239148.0	270.0	0.11290079783230467	3.3581740861782756	239148.0	29.0	0.012126381989395687	2.493371574251115	9.310344827586206
19	39.7857284361504	25239	0.256508031827053	258944.0	201.11	0.0776654411764706	2.785769587904557	2.796346282509899	258944.0	55.0667	0.0212658721576866	240794.0	287.0	0.11918901633761639	3.450318189985688	240794.0	42.0	0.01744229507379752	3.6521164333435645	6.833333333333333
20	39.787177395113154	23287	0.2561611872740564	254162.0	215.635	0.08484155774663403	2.91152154117783	2.91152154117783	254162.0	62.95	0.0247676678653772	239107.0	280.0	0.11710238512465132	3.42001835431672	239107.0	40.0	0.016728912160664473	3.42549642573471	7.0
21	39.77864405417353	24883	0.25556847571122115	252215.0	279.254	0.11072061534801658	3.3256281331710276	3.3256281331710276	252215.0	85.5651	0.033925460420672834	234704.0	269.0	0.11461244801963325	3.3835053995408773	234704.0	66.0	0.028120526279910015	3.2636437052022385	4.075757575757576
22	39.777023835086965	23285	0.2546509643283837	250819.0	296.177	0.11808395695700885	3.434305151673372	3.335333457709402	250819.0	87.0861	0.03472069500316962	231565.0	306.0	0.13214432232850387	3.6327634262262007	231565.0	77.0	0.03325200267743398	3.4009675482080377	3.9740259740259742
23	39.78944611758544	22911	0.25330769075860404	241560.0	288.66	0.11949826130154	3.454785998538825	3.434305151673372	241560.0	168.479	0.06974623282000332	227507.0	272.0	0.11955676089087368	3.455630516998693	227507.0	145.0	0.06373430268079663	1.713329257652289	1.8758620689655172
24	39.79558434916034	23462	0.25114122898468577	237234.0	264.204	0.11136852221856901	3.335333457709402	3.454785998538825	237234.0	248.304	0.10466627886390652	229348.0	263.0	0.11467289882623785	3.384396550184179	229348.0	147.0	0.0640947381272128	1.0640344094335976	1.7891156462585034
25	39.69150932098519	25051	0.24845170440052647	232600.0	347.557	0.1494226139294927	3.862633075428696	3.862633075428696	232600.0	373.106	0.1604067067927773	227789.0	340.0	0.14926093885130537	3.8605459532640927	227789.0	155.0	0.06804542800574215	0.9315234812626975	2.1935483870967745
26	39.68736179622385	23516	0.2453017325991053	233813.0	417.355	0.17849948463088022	4.221147521358918	4.068458841113124	233813.0	363.939	0.1556538772437803	226056.0	292.0	0.12917153271755671	3.591722147785247	226056.0	178.0	0.07874155076618182	1.1467718491285626	1.6404494382022474
27	39.70936656816138	23349	0.24212687549355094	227712.0	377.543	0.16579846472737492	4.068458841113124	4.221147521358918	227712.0	369.64	0.1623278527262507	221471.0	297.0	0.13410333632845836	3.6595559741629056	221471.0	185.0	0.08353238121469628	1.0213802618764203	1.6054054054054057
28	39.71708716040771	25803	0.23947488040866685	226693.0	439.545	0.19389438579929685	4.399073032706458	4.399073032706458	226693.0	432.273	0.19068652318333607	225617.0	336.0	0.14892494803139836	3.856204891210227	225617.0	221.0	0.09795361165160427	1.0168227023200616	1.5203619909502264
29	39.73781408494328	25829	0.23763748647674	230791.0	449.221	0.19464407190921656	4.407552708271593	4.407552708271593	230791.0	564.262	0.24449046973235522	228813.0	331.0	0.14465961287164628	3.8006624269419733	228813.0	257.0	0.11231879307556827	0.7961213053510604	1.2879377431906613
30	39.670882763433355	22928	0.2384266657197306	226216.0	456.519	0.20180668034091312	4.487754683342338	4.407552708271593	226216.0	624.575	0.276096739399512	227224.0	271.0	0.11926557053832341	3.4514247460311966	227224.0	290.0	0.12762736330669294	0.7309274306528438	0.9344827586206897
31	39.629398311048554	22736	0.24342212065585234	225603.0	475.251	0.21065810295075862	4.584913680620066	4.407552708271593	225603.0	914.384	0.4053066670212719	226752.0	288.0	0.12701100762066045	3.561596406951415	226752.0	328.0	0.14465142534575218	0.5197499081348754	0.8780487804878049
32	39.39287120052482	22865	0.250317395913773	225346.0	409.168	0.18157322517373284	4.257270684519988	4.481740758746029	225346.0	724.687	0.3215885793402146	226700.0	265.0	0.11689457432730481	3.4169859659096224	226700.0	366.0	0.16144684605205117	0.5646134124111513	0.7240437158469946
33	39.00913262756145	22009	0.25545048772877127	228144.0	440.976	0.1932884494003787	4.392207248681039	4.481740758746029	228144.0	909.635	0.3987109018865278	229327.0	313.0	0.13648632738404112	3.691883560032917	229327.0	468.0	0.20407540324514778	0.4847834571009251	0.6688034188034188
