bin	bin_center	count	cumulative	log1p_cum	dist
39	0.393939393939394	99	2974.0	7.99799931797973	-0.2576666583757774
40	0.4040404040404041	35	2875.0	7.964155718840937	-0.25580339270982666
41	0.4141414141414142	48	2840.0	7.951911381854188	-0.2486827310776638
42	0.42424242424242425	37	2792.0	7.934871565945176	-0.2427293191119244
43	0.43434343434343436	33	2755.0	7.9215356321335495	-0.23587435899787113
44	0.4444444444444445	37	2722.0	7.909489492673759	-0.22870545484374571
45	0.4545454545454546	79	2685.0	7.895808377083183	-0.22193451414107246
46	0.4646464646464647	57	2606.0	7.865955413933502	-0.21909990262987544
47	0.4747474747474748	17	2549.0	7.843848638152472	-0.214379820497562
48	0.48484848484848486	10	2532.0	7.837159650001675	-0.20590695209298993
49	0.494949494949495	121	2522.0	7.833203948641057	-0.19676878452939883
50	0.5050505050505051	15	2401.0	7.784057002639929	-0.19863044953456277
51	0.5151515151515152	20	2386.0	7.77779262633883	-0.1900542279408819
52	0.5252525252525253	28	2366.0	7.769378609513984	-0.18200124234196824
53	0.5353535353535354	82	2338.0	7.757478766584179	-0.17479672869427776
54	0.5454545454545455	13	2256.0	7.721791776817535	-0.17338215587638806
55	0.5555555555555556	33	2243.0	7.716015266642587	-0.1646871846057223
56	0.5656565656565657	22	2210.0	7.701200180857446	-0.15819225936527814
57	0.5757575757575758	33	2188.0	7.691200097522863	-0.15052533230909337
58	0.5858585858585859	18	2155.0	7.6760099320288875	-0.14412170382380496
59	0.595959595959596	56	2137.0	7.6676260915849905	-0.13606137310437916
60	0.6060606060606061	33	2081.0	7.641084249174914	-0.13242081402434858
61	0.6161616161616162	24	2048.0	7.6251071482389	-0.12620873056451143
62	0.6262626262626263	19	2024.0	7.613324979540639	-0.11897557427033179
63	0.6363636363636365	58	2005.0	7.603897968521881	-0.11116915781583492
64	0.6464646464646465	21	1947.0	7.5745584842024805	-0.10820956233472045
65	0.6565656565656566	9	1926.0	7.563719668414366	-0.10074678802166559
66	0.6666666666666667	56	1917.0	7.559038255443384	-0.09178526321865144
67	0.6767676767676768	19	1861.0	7.529406457837013	-0.08889681862616317
68	0.686868686868687	43	1842.0	7.519149957669823	-0.08129230503632368
69	0.696969696969697	58	1799.0	7.495541943884256	-0.076937633656184
70	0.7070707070707072	24	1741.0	7.462789157412448	-0.07480885734107634
71	0.7171717171717172	20	1717.0	7.4489161025442	-0.06808463586321212
72	0.7272727272727273	47	1697.0	7.437206366871292	-0.060833848916067246
73	0.7373737373737375	15	1650.0	7.409136443920128	-0.057565234230072204
74	0.7474747474747475	51	1635.0	7.400009517162692	-0.0496857753830211
75	0.7575757575757577	37	1584.0	7.368339686311381	-0.04729340087318312
76	0.7676767676767677	28	1547.0	7.344719054149673	-0.04294180088499
77	0.7777777777777778	32	1519.0	7.326465613840322	-0.03728379271508031
78	0.787878787878788	15	1487.0	7.305188215393037	-0.03236183493450606
79	0.797979797979798	69	1472.0	7.29505641646263	-0.024726968281000405
80	0.8080808080808082	26	1403.0	7.247080584585756	-0.026303576758330505
81	0.8181818181818182	52	1377.0	7.228388451573604	-0.020752349145547244
82	0.8282828282828284	49	1325.0	7.189922170745808	-0.020014273214957523
83	0.8383838383838385	43	1276.0	7.152268856032539	-0.019078316229862446
84	0.8484848484848485	45	1233.0	7.1180162044653335	-0.017314616492227874
85	0.8585858585858587	21	1188.0	7.080867896690782	-0.016255737648791957
86	0.8686868686868687	29	1167.0	7.0630481633881725	-0.010492162471467448
87	0.8787878787878789	21	1138.0	7.037905963447182	-0.006510921630212052
88	0.888888888888889	22	1117.0	7.0192966537150445	-0.0009395343112688082
89	0.8989898989898991	49	1095.0	6.999422467507961	0.004323974135223896
