subset	n_genes	pearson	spearman
all_genes	18129	0.9999999924830448	0.9999999754848009
genes_ge20_any	15063	0.9999999920899848	0.9999999967109491
genes_ge100_any	13842	0.9999999918695678	0.9999999957615366
