Sample	Expected	Retain	Simple_ED	Tail_Tested	ED_Pass	Occ_Rem	Final	Total_UMIs
BC001	3000	9190	9176	0	9176	0	9176	9176
TOTAL	3000	9190	9176	0	9176	0	9176	9176
