tag	old_tag_object	new_tag_object	unchanged_tree
v1.8.0	6eebdbdf5dad7f7aef83280f832f0b13ce191afe	ca415636b178c66ae5d284b6287346687b290490	abb08484cd99cd487fea5191e8f26aeb41813d77
v1.8.1	9c833b902e47943f842ee1237f1a0d3f3fe8036c	007848c493c461c705149920051744a2c76f7518	348913a040cc9f3028ff1541f15e99ea35d2f58c
v1.8.2	624d98b63de8f5c95e3db07efa4d168c2bcffd36	9a7ac91d44e5395f9cafbbef2b9809337a160611	7238eb8ff61618bbb1687581f099884b92b305a5
v1.8.3	9389e0646176cc7306b84668d82ec974ce5ab98b	a66f4dba72cdf92100c1ebc6c24ef57569d8b747	7f24c52eb7d9187c2ed2776c67c88122b0eead71
v1.8.4	8a70a755b1594cd1cd8ea6531826bc26f1647475	f4e8c7c676de9b2a7aecd59c6a3ebee761735901	72a26c8693722084a47148707adb1114942d8107
v1.9.0	96cda538326f78a10542cfbd94a7f08e77078424	2ec6174b1756d1922e6f8cff92837852123281ac	28c751ebac6935cd6a7be6eff98ec63ace5f1b73
v1.9.1	0a174a13036b990d8538e5d20d9b368d0037af7f	f0a02417b5610dcb8d2b9ff08581ad8ea97280ba	d77f55a718189799f482dd087cc0bcfbab29cd8b
v1.9.2	100944318721aecf0e9ecb1ee61950cf119f0dd8	4b903d8cc1ee4d76e512f54a10cf6b5942d1edde	fc80ea824cc5e368abc58ce3e4e292b3b0452a2d
v1.9.3	d4a424529df7e0d9b476e37d516323fafa9b408e	f49ee1aca2f522a0509aaf9e806cf4794a84838e	65dfe07d88f0c317601cd6f17b2358a87ab02c20
v1.9.4	093aff656f94e8f55ce45d6b5cdce7b472c8d320	7f5bce4d23b099dfe0b03296cd2fa4830adac06d	66a67a37eb5c129c0f6f3d2ee39ed0a7c26ad5b2
