# 2026-09-13 attribution-trailer correction; commit trees, authors, dates and parent order preserved.
# Existing source-revision and binary-checksum provenance remains unchanged. See HISTORY_REWRITE_20260913.md.
old	new
0e2b62f5caf75ef0bc8ad4f190bd3152608ac8d3	77d8e6ff13571f498b38571a107ca41c13885dca
0ffdf476a2d97fb5d4730058ac1fe8d3928bc7ee	fc405b41b487c89f3223c357cf86df64c567284f
100b78f114ab07642857a9b0a58e4b5d226a58f5	100b78f114ab07642857a9b0a58e4b5d226a58f5
1016700034e937a3be54b3b0df48dddb651917f8	5f6c4526760e3ad3709614f8b542eddc9dff3f50
10a2ee4a1a5538d7b776aa47c52b6f690b3f1eeb	10a2ee4a1a5538d7b776aa47c52b6f690b3f1eeb
10fb2b800ec86ad90752af43d25aef0e2a3afafb	4c7232b49c53aa913360d04b6c900a7e65aaca8a
112b09a6cb1b8f4798ff0286c59cf544ad75776d	44ac7c297a4383cb1993682d4d6a13fbcb1dd1c2
128fad491d008abae28a288f1fb05a1e434d0f50	128fad491d008abae28a288f1fb05a1e434d0f50
137ab86b7d79d3f4b251576846ca899976b9e3e3	ebd07a3117281c1db068f045b49a0093814b3e25
1391f1d1915cd42af74203a523d531c61df82943	1391f1d1915cd42af74203a523d531c61df82943
13dc7c49ad8fb7e748f8a4590ce8af8181ffcf08	13dc7c49ad8fb7e748f8a4590ce8af8181ffcf08
142f2bddc33a58f62f840bbcebb985e768ce4cbd	142f2bddc33a58f62f840bbcebb985e768ce4cbd
145e5756c83b899bd5db44496b5da2517f049e43	145e5756c83b899bd5db44496b5da2517f049e43
158fa0008fb74d8a0c5cdef361c69236a31d214e	bb96fa4ca76990e44da19e5998f4a12219309acd
16ac937456c7f01b43892a3495aabcb70efc7f14	16ac937456c7f01b43892a3495aabcb70efc7f14
16f556b1254e9c1fd47ceb20598eb6cb4f6e4d9f	ffd792e3208e94c3eda369e98bfb9c0a8eb6d8ea
170f3d1bc035285530474a69796d791e9c79e6c4	170f3d1bc035285530474a69796d791e9c79e6c4
171dd8826ffa9e3f2a8ab9d5fe731d24237eae4d	d31b6da40ce0bec49941d955548e178291776f91
173c76c6a5aacf3b699d8c8b6583d475251ac185	173c76c6a5aacf3b699d8c8b6583d475251ac185
173e9356f1c6f571f5f03e583db223ffaca90cc3	173e9356f1c6f571f5f03e583db223ffaca90cc3
1776f11eae99e26d5a768d6f769a3e2bb25716ad	1776f11eae99e26d5a768d6f769a3e2bb25716ad
17d890aa1292d587d821689e994bf07809e2d3ed	4e31f99c537f07f5f2cbd311f39598143cbc57dc
1805a9c21151aaa45533e22c5d1c454b697f1790	1805a9c21151aaa45533e22c5d1c454b697f1790
183c2160553efeeb6d5df93a75bdb866d7e32932	183c2160553efeeb6d5df93a75bdb866d7e32932
18b42839e93f887d1c129bf45eff867a5a49a161	18b42839e93f887d1c129bf45eff867a5a49a161
