#qname	txpIDs=...;as=...;bestAS=...;logFragProb=...;errLike=...;logCompat=...;expFmt=...;obsFmt=...;isCompat=...;mateStatus=...;mateFields=...;fwd=...;mateFwd=...;pos=...;matePos=...;primary=...;dropped=...;orphan=...;auxProb=...;fragLen=...;useAuxParams=...;globalFragCount=...;batchReads=...;batchStartCount=...;inDetectionMode=...;
LH00341:87:22K2FJLT3:1:1101:21147:1112	txpIDs=134156,134157,134159,134160;as=0,0,0,0;bestAS=0;logFragProb=0,0,0,0;errLike=0,0,0,0;logCompat=0,0,0,0;expFmt=37,37,37,37;obsFmt=5,5,5,5;isCompat=1,1,1,1;mateStatus=3,3,3,3;mateFields=1,1,1,1;fwd=1,1,1,1;mateFwd=0,0,0,0;pos=3407,1696,1680,1723;matePos=3459,1748,1732,1775;primary=0,0,1,0;dropped=0,0,0,0;droppedIncompat=0;orphan=0,0,0,0;auxProb=0,0,0,0;weight=0.25,0.25,0.25,0.25;ec_label=134156,134157,134159,134160;fragLen=151,151,151,151;useAuxParams=0,0,0,0;globalFragCount=0,0,0,0;batchReads=0,0,0,0;batchStartCount=0,0,0,0;inDetectionMode=1,1,1,1
LH00341:87:22K2FJLT3:1:1101:22238:1112	txpIDs=156647,156650,156651,156652,156654,156656,156661,156662,156663,156664,156665,156666;as=0,0,0,0,0,0,0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0,0,0,0,0,0,0;errLike=0,0,0,0,0,0,0,0,0,0,0,0;logCompat=0,0,0,0,0,0,0,0,0,0,0,0;expFmt=37,37,37,37,37,37,37,37,37,37,37,37;obsFmt=5,5,5,5,5,5,5,5,5,5,5,5;isCompat=1,1,1,1,1,1,1,1,1,1,1,1;mateStatus=3,3,3,3,3,3,3,3,3,3,3,3;mateFields=1,1,1,1,1,1,1,1,1,1,1,1;fwd=1,1,1,1,1,1,1,1,1,1,1,1;mateFwd=0,0,0,0,0,0,0,0,0,0,0,0;pos=902,480,491,502,518,440,484,457,274,140,281,470;matePos=902,480,491,502,518,440,484,457,274,140,281,470;primary=0,0,0,0,1,0,0,0,0,0,0,0;dropped=0,0,0,0,0,0,0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0,0,0,0,0,0,0;auxProb=0,0,0,0,0,0,0,0,0,0,0,0;weight=0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333;ec_label=156647,156650,156651,156652,156654,156656,156661,156662,156663,156664,156665,156666;fragLen=151,151,151,151,151,151,151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0,0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0,0,0,0,0,0,0;batchReads=0,0,0,0,0,0,0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0,0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1,1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:24143:1112	txpIDs=34572,34576;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=38,12;matePos=38,12;primary=0,1;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=34572,34576;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:25327:1112	txpIDs=169822,169824,169825,169826,169827,169828,169830,169831,169832,169833,169834,169835;as=0,0,0,0,0,0,0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0,0,0,0,0,0,0;errLike=0,0,0,0,0,0,0,0,0,0,0,0;logCompat=0,0,0,0,0,0,0,0,0,0,0,0;expFmt=37,37,37,37,37,37,37,37,37,37,37,37;obsFmt=5,5,5,5,5,5,5,5,5,5,5,5;isCompat=1,1,1,1,1,1,1,1,1,1,1,1;mateStatus=3,3,3,3,3,3,3,3,3,3,3,3;mateFields=1,1,1,1,1,1,1,1,1,1,1,1;fwd=1,1,1,1,1,1,1,1,1,1,1,1;mateFwd=0,0,0,0,0,0,0,0,0,0,0,0;pos=289,289,289,360,154,285,412,497,282,359,288,405;matePos=292,292,292,363,157,288,415,500,285,362,291,408;primary=0,0,0,0,0,0,1,0,0,0,0,0;dropped=0,0,0,0,0,0,0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0,0,0,0,0,0,0;auxProb=0,0,0,0,0,0,0,0,0,0,0,0;weight=0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333;ec_label=169822,169824,169825,169826,169827,169828,169830,169831,169832,169833,169834,169835;fragLen=151,151,151,151,151,151,151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0,0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0,0,0,0,0,0,0;batchReads=0,0,0,0,0,0,0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0,0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1,1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:26455:1112	txpIDs=161327,161328,161329;as=0,0,0;bestAS=0;logFragProb=0,0,0;errLike=0,0,0;logCompat=0,0,0;expFmt=37,37,37;obsFmt=5,5,5;isCompat=1,1,1;mateStatus=3,3,3;mateFields=1,1,1;fwd=1,1,1;mateFwd=0,0,0;pos=4197,4416,3876;matePos=4197,4416,3876;primary=0,1,0;dropped=0,0,0;droppedIncompat=0;orphan=0,0,0;auxProb=0,0,0;weight=0.333333,0.333333,0.333333;ec_label=161327,161328,161329;fragLen=151,151,151;useAuxParams=0,0,0;globalFragCount=0,0,0;batchReads=0,0,0;batchStartCount=0,0,0;inDetectionMode=1,1,1
LH00341:87:22K2FJLT3:1:1101:33056:1112	txpIDs=21615,21616;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=1413,1406;matePos=1417,1410;primary=1,0;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=21615,21616;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:34499:1112	txpIDs=26369,26372;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=12,11;matePos=78,77;primary=0,1;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=26369,26372;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:35812:1112	txpIDs=133441,133442;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=122,185;matePos=122,185;primary=0,1;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=133441,133442;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:36274:1112	txpIDs=53472,53473;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=45,95;matePos=45,95;primary=1,0;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=53472,53473;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:39861:1112	txpIDs=52800,52801,52802,52803,52804;as=0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0;errLike=0,0,0,0,0;logCompat=0,0,0,0,0;expFmt=37,37,37,37,37;obsFmt=5,5,5,5,5;isCompat=1,1,1,1,1;mateStatus=3,3,3,3,3;mateFields=1,1,1,1,1;fwd=1,1,1,1,1;mateFwd=0,0,0,0,0;pos=2312,8014,2851,7550,7650;matePos=2350,8052,2889,7588,7688;primary=0,1,0,0,0;dropped=0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0;auxProb=0,0,0,0,0;weight=0.2,0.2,0.2,0.2,0.2;ec_label=52800,52801,52802,52803,52804;fragLen=151,151,151,151,151;useAuxParams=0,0,0,0,0;globalFragCount=0,0,0,0,0;batchReads=0,0,0,0,0;batchStartCount=0,0,0,0,0;inDetectionMode=1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:40305:1112	txpIDs=141540,141541,141542;as=0,0,0;bestAS=0;logFragProb=0,0,0;errLike=0,0,0;logCompat=0,0,0;expFmt=37,37,37;obsFmt=5,5,5;isCompat=1,1,1;mateStatus=3,3,3;mateFields=1,1,1;fwd=1,1,1;mateFwd=0,0,0;pos=1753,1727,1592;matePos=1801,1775,1640;primary=0,1,0;dropped=0,0,0;droppedIncompat=0;orphan=0,0,0;auxProb=0,0,0;weight=0.333333,0.333333,0.333333;ec_label=141540,141541,141542;fragLen=151,151,151;useAuxParams=0,0,0;globalFragCount=0,0,0;batchReads=0,0,0;batchStartCount=0,0,0;inDetectionMode=1,1,1
LH00341:87:22K2FJLT3:1:1101:40989:1112	txpIDs=32560,32561,32566,32567;as=0,0,0,0;bestAS=0;logFragProb=0,0,0,0;errLike=0,0,0,0;logCompat=0,0,0,0;expFmt=37,37,37,37;obsFmt=5,5,5,5;isCompat=1,1,1,1;mateStatus=3,3,3,3;mateFields=1,1,1,1;fwd=1,1,1,1;mateFwd=0,0,0,0;pos=1083,979,14,1081;matePos=1090,986,21,1088;primary=0,0,1,0;dropped=0,0,0,0;droppedIncompat=0;orphan=0,0,0,0;auxProb=0,0,0,0;weight=0.25,0.25,0.25,0.25;ec_label=32560,32561,32566,32567;fragLen=151,151,151,151;useAuxParams=0,0,0,0;globalFragCount=0,0,0,0;batchReads=0,0,0,0;batchStartCount=0,0,0,0;inDetectionMode=1,1,1,1
LH00341:87:22K2FJLT3:1:1101:41470:1112	txpIDs=166759;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=906;matePos=945;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=166759;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:47610:1112	txpIDs=57674;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=2483;matePos=2526;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=57674;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:5937:1128	txpIDs=161894;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=444;matePos=444;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=161894;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:7361:1128	txpIDs=188085,188086,188089;as=0,0,0;bestAS=0;logFragProb=0,0,0;errLike=0,0,0;logCompat=0,0,0;expFmt=37,37,37;obsFmt=5,5,5;isCompat=1,1,1;mateStatus=3,3,3;mateFields=1,1,1;fwd=1,1,1;mateFwd=0,0,0;pos=807,1333,46;matePos=819,1345,58;primary=0,1,0;dropped=0,0,0;droppedIncompat=0;orphan=0,0,0;auxProb=0,0,0;weight=0.333333,0.333333,0.333333;ec_label=188085,188086,188089;fragLen=151,151,151;useAuxParams=0,0,0;globalFragCount=0,0,0;batchReads=0,0,0;batchStartCount=0,0,0;inDetectionMode=1,1,1
LH00341:87:22K2FJLT3:1:1101:7972:1128	txpIDs=2898;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=13;isCompat=1;mateStatus=3;mateFields=1;fwd=0;mateFwd=1;pos=2890;matePos=2890;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=2898;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:9229:1128	txpIDs=188161;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=16;matePos=16;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=188161;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:10191:1128	txpIDs=53472,53473;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=24,74;matePos=139,189;primary=1,0;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=53472,53473;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:11855:1128	txpIDs=28027,28030,28032,28033,28034,28037,28038,28039;as=0,0,0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0,0,0;errLike=0,0,0,0,0,0,0,0;logCompat=0,0,0,0,0,0,0,0;expFmt=37,37,37,37,37,37,37,37;obsFmt=5,5,5,5,5,5,5,5;isCompat=1,1,1,1,1,1,1,1;mateStatus=3,3,3,3,3,3,3,3;mateFields=1,1,1,1,1,1,1,1;fwd=1,1,1,1,1,1,1,1;mateFwd=0,0,0,0,0,0,0,0;pos=897,690,328,391,552,644,1063,773;matePos=945,738,376,439,600,692,1111,821;primary=0,0,0,0,0,0,1,0;dropped=0,0,0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0,0,0;auxProb=0,0,0,0,0,0,0,0;weight=0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125;ec_label=28027,28030,28032,28033,28034,28037,28038,28039;fragLen=151,151,151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0,0,0;batchReads=0,0,0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:13075:1128	txpIDs=69358,69359,69461,69462,69463,69465,69466,69470;as=0,0,0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0,0,0;errLike=0,0,0,0,0,0,0,0;logCompat=0,0,0,0,0,0,0,0;expFmt=37,37,37,37,37,37,37,37;obsFmt=5,5,5,5,5,5,5,5;isCompat=1,1,1,1,1,1,1,1;mateStatus=3,3,3,3,3,3,3,3;mateFields=1,1,1,1,1,1,1,1;fwd=1,1,1,1,1,1,1,1;mateFwd=0,0,0,0,0,0,0,0;pos=2223,2257,2432,2317,2312,2176,2291,3264;matePos=2321,2355,2530,2415,2410,2274,2389,3362;primary=0,0,0,0,0,1,0,0;dropped=0,0,0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0,0,0;auxProb=0,0,0,0,0,0,0,0;weight=0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125;ec_label=69358,69359,69461,69462,69463,69465,69466,69470;fragLen=151,151,151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0,0,0;batchReads=0,0,0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:18586:1128	txpIDs=151933;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=1788;matePos=1805;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=151933;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:21304:1128	txpIDs=28700,28703,28704,28705,28706,28707,28708,28709,28710,28711,28712,28713,28714,28715,28716,28717,28718,28719,28720,28721,28722,28723,28724,28725,28726,28727,28728,28729;as=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;errLike=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;logCompat=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;expFmt=37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37;obsFmt=5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5;isCompat=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;mateStatus=3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3;mateFields=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;fwd=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;mateFwd=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;pos=4908,4949,4822,4523,5036,4955,5018,4472,4450,4858,4474,3713,4749,4630,4648,4739,3794,4468,3776,3689,4654,3707,4735,4717,4537,4555,4378,4747;matePos=4908,4949,4822,4523,5036,4955,5018,4472,4450,4858,4474,3713,4749,4630,4648,4739,3794,4468,3776,3689,4654,3707,4735,4717,4537,4555,4378,4747;primary=0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;dropped=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;auxProb=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;weight=0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143,0.0357143;ec_label=28700,28703,28704,28705,28706,28707,28708,28709,28710,28711,28712,28713,28714,28715,28716,28717,28718,28719,28720,28721,28722,28723,28724,28725,28726,28727,28728,28729;fragLen=151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;batchReads=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:23413:1128	txpIDs=121997;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=784;matePos=784;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=121997;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:24393:1128	txpIDs=64157,64158,64159,64162,64163,64164;as=0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0;errLike=0,0,0,0,0,0;logCompat=0,0,0,0,0,0;expFmt=37,37,37,37,37,37;obsFmt=5,5,5,5,5,5;isCompat=1,1,1,1,1,1;mateStatus=3,3,3,3,3,3;mateFields=1,1,1,1,1,1;fwd=1,1,1,1,1,1;mateFwd=0,0,0,0,0,0;pos=237,259,287,447,275,366;matePos=245,267,295,455,283,374;primary=1,0,0,0,0,0;dropped=0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0;auxProb=0,0,0,0,0,0;weight=0.166667,0.166667,0.166667,0.166667,0.166667,0.166667;ec_label=64157,64158,64159,64162,64163,64164;fragLen=151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0;batchReads=0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:25188:1128	txpIDs=198442,198443,198445,198446,198447,198448;as=0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0;errLike=0,0,0,0,0,0;logCompat=0,0,0,0,0,0;expFmt=37,37,37,37,37,37;obsFmt=5,5,5,5,5,5;isCompat=1,1,1,1,1,1;mateStatus=3,3,3,3,3,3;mateFields=1,1,1,1,1,1;fwd=1,1,1,1,1,1;mateFwd=0,0,0,0,0,0;pos=3496,3578,3517,3785,3789,3789;matePos=3498,3580,3519,3787,3791,3791;primary=0,0,0,0,1,0;dropped=0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0;auxProb=0,0,0,0,0,0;weight=0.166667,0.166667,0.166667,0.166667,0.166667,0.166667;ec_label=198442,198443,198445,198446,198447,198448;fragLen=151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0;batchReads=0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:31919:1128	txpIDs=82736;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=1279;matePos=1290;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=82736;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:33731:1128	txpIDs=7350,7351,7352,7353,7354,7355,7361,7362,7363,7364,7365,7366,7367;as=0,0,0,0,0,0,0,0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0,0,0,0,0,0,0,0;errLike=0,0,0,0,0,0,0,0,0,0,0,0,0;logCompat=0,0,0,0,0,0,0,0,0,0,0,0,0;expFmt=37,37,37,37,37,37,37,37,37,37,37,37,37;obsFmt=5,5,5,5,5,5,5,5,5,5,5,5,5;isCompat=1,1,1,1,1,1,1,1,1,1,1,1,1;mateStatus=3,3,3,3,3,3,3,3,3,3,3,3,3;mateFields=1,1,1,1,1,1,1,1,1,1,1,1,1;fwd=1,1,1,1,1,1,1,1,1,1,1,1,1;mateFwd=0,0,0,0,0,0,0,0,0,0,0,0,0;pos=1415,1403,1403,1403,1403,1403,939,974,974,974,974,974,361;matePos=1427,1415,1415,1415,1415,1415,951,986,986,986,986,986,373;primary=0,0,0,0,0,0,0,0,0,1,0,0,0;dropped=0,0,0,0,0,0,0,0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0,0,0,0,0,0,0,0;auxProb=0,0,0,0,0,0,0,0,0,0,0,0,0;weight=0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231;ec_label=7350,7351,7352,7353,7354,7355,7361,7362,7363,7364,7365,7366,7367;fragLen=151,151,151,151,151,151,151,151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0,0,0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0,0,0,0,0,0,0,0;batchReads=0,0,0,0,0,0,0,0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0,0,0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1,1,1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:36098:1128	txpIDs=177730,177731;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=407,564;matePos=407,564;primary=1,0;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=177730,177731;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:37670:1128	txpIDs=168659,168660,168661,168662;as=0,0,0,0;bestAS=0;logFragProb=0,0,0,0;errLike=0,0,0,0;logCompat=0,0,0,0;expFmt=37,37,37,37;obsFmt=5,5,5,5;isCompat=1,1,1,1;mateStatus=3,3,3,3;mateFields=1,1,1,1;fwd=1,1,1,1;mateFwd=0,0,0,0;pos=527,393,518,665;matePos=527,393,518,665;primary=1,0,0,0;dropped=0,0,0,0;droppedIncompat=0;orphan=0,0,0,0;auxProb=0,0,0,0;weight=0.25,0.25,0.25,0.25;ec_label=168659,168660,168661,168662;fragLen=151,151,151,151;useAuxParams=0,0,0,0;globalFragCount=0,0,0,0;batchReads=0,0,0,0;batchStartCount=0,0,0,0;inDetectionMode=1,1,1,1
